Merchant SKU ID,SKU Name (Chi),StockLevel,Brand Name (CHI),Online Status
B0961005_S_6921168561797_24,(原箱) 飲用天然水 380ml x 24 支【最佳使用日期:01/2028】,0,農夫山泉,online
B0961005_S_6921168561803_24,(原箱) 飲用天然水 550ml x 24 支【最佳使用日期:10/2027】,1,農夫山泉,online
B0961005_S_6921168561810_24,(原箱) 飲用天然水 750ml x 24 支【最佳使用日期:03/2027】,4,農夫山泉,online
B0961005_S_6921168561827_12,(原箱) 飲用天然水1.5L x 12 支【最佳使用日期:04/2027】,0,農夫山泉,online
B0961005_S_6921168561902_12,(原箱) 東方樹葉茉莉花茶 900ml x 12 支【最佳使用日期:01/2027】,12,農夫山泉,online
B0961005_S_6921168561971_15,(原箱) 茶π 蜜桃烏龍茶 500ml x 15 支【最佳使用日期:08/2026】,0,農夫山泉,online
B0961005_S_6921168561988_15,(原箱) 茶π 西柚茉莉花茶 500ml x 15 支【最佳使用日期:08/2026】,2,農夫山泉,online
B0961005_S_6921168561995_15,(原箱) 茶π 柚子綠茶 500ml x 15 支【最佳使用日期:11/2026】,2,農夫山泉,online
B0961005_S_6921168562008_15,(原箱) 茶π 青提烏龍茶 500ml x 15 支【最佳使用日期:12/2026】,1,農夫山泉,online
B0961005_S_6921168562091_15,(原箱) 水溶C100檸檬味複合果汁飲料 445ml x 15 支【最佳使用日期:09/2026】,2,農夫山泉,online
B0961005_S_6921168562107_15,(原箱) 水溶C100西柚汁飲料 445ml x 15 支【最佳使用日期:02/2027】,6,農夫山泉,online
B0961005_S_6921168562114_15,(原箱) 水溶C100青皮桔味複合果汁飲料 445ml x 15 支【最佳使用日期:08/2026】,5,農夫山泉,online
B0961005_S_6921168562121_15,(原箱) 水溶C100血橙味複合果汁飲料 445ml x 15 支【最佳使用日期:01/2027】,7,農夫山泉,online
B0961005_S_6921168562237_15,(原箱) 尖叫多肽型西柚口味 550ml x 15 支【最佳使用日期:12/2026】,0,農夫山泉,online
B0961005_S_6921168562244_15,(原箱) 尖叫茶氨酸型黄金桃味 550ml x 15 支【最佳使用日期:12/2026】,1,農夫山泉,online
B0961005_S_6921168562541_15,(原箱) 尖叫纖維型檸檬味 550ml x 15 支【最佳使用日期:09/2026】,1,農夫山泉,online
B0961005_S_6921168562558_15,(原箱) 尖叫乳鈣型柑橘味 550ml x 15 支【最佳使用日期:12/2026】,1,農夫山泉,online
B0961005_S_6921168562602_15,(原箱) 東方樹葉菊花普洱茶 500ml x 15 支【最佳使用日期:02/2027】,2,農夫山泉,online
B0961005_S_6921168563036_4,(原箱) 飲用天然水 5L x 4 支【最佳使用日期:03/2027】,3,農夫山泉,online
B0961005_S_851228000118,600iu 兒童維生素D3滴劑2.8ml [紫色]【最佳使用日期:06/2029】,0,Ddrops,online
B0961005_S_852933008413,強效安神助眠營養補充軟糖 50粒【最佳使用日期:11/2026】,0,OLLY,online
B0961005_S_8853333026580,Coco 100% 椰子水 350ml x 24支 /箱  【最佳使用日期:07/09/2026】 ,0,Malee,offline
B0961005_S_8853333026580_24, (原箱) Coco 100% 椰子水 350ml x 24支【最佳使用日期:07/09/2026】 ,76,Malee,online
B0961005_S_8888650000012,驅風油 57ml【最佳使用日期:10/2030】,23,均隆,online
B0961005_S_8888650000036,驅風油(袖珍裝) 3ml【最佳使用日期:08/2030】,19,均隆,online
B0961005_S_8995201801711,日本大正肯得冰涼舒緩膏 120克【最佳使用日期:11/2028】,14,日本大正肯得,online
B0961005_S_9311770608084,鉑金膠原蛋白美肌飲 8 x 50ml【香港行貨】【最佳使用日期:04/2027】,72,Swisse,online
B0961005_S_9311770608152,Ultiboost 維他命C D 鋅 + 紫錐菊泡騰片 40片裝【香港行貨】【最佳使用日期:12/2027】,0,Swisse,online
B0961005_S_9311770610407,升級版黃金膠原蛋白美肌飲 10 x 25ml【香港行貨】【最佳使用日期:08/2027】,4,Swisse,online
B0961005_S_9311770612128,ULTIBOOST 濃縮蔓越莓 30粒裝【香港行貨】【最佳使用日期:09/2026】,23,Swisse,online
B0961005_S_9311770612135,ULTIBOOST 濃縮蔓越莓 110粒裝 【香港行貨】【最佳使用日期:06/2028】,33,Swisse,online
B0961005_S_9311770614047,Beauty 美基循環 NMN 120粒【香港行貨】【最佳使用日期:11/2026】,157,Swisse,online
B0961005_S_9311770615426,ULTIBOOST 維他命B+ 60片裝【香港行貨】【最佳使用日期:08/2027】,19,Swisse,online
B0961005_S_9311770615457,女性多元維他命 120片裝【香港行貨】【最佳使用日期:10/2027】,43,Swisse,online
B0961005_S_9311770615464,50歲以上女性多元維他命 120片裝【香港行貨】【最佳使用日期:09/2027】,30,Swisse,online
B0961005_S_9311770615488,男性多元維他命 120片裝 【香港行貨】【最佳使用日期:10/2027】,36,Swisse,online
B0961005_S_9311770615495,50歲以上男性多元維他命 120片裝 【香港行貨】【最佳使用日期:05/2027】,45,Swisse,online
B0961005_S_9311770615914,Beauty 亮膚美白丸 60粒【香港行貨】【最佳使用日期:05/2027】,110,Swisse,online
B0961005_S_9318637042449,長效保濕乳液 473ml【香港行貨】【最佳使用日期:07/2028】,9,舒特膚,online
B0961005_S_9318637044054,清香保濕沐浴露 1L【香港行貨】【最佳使用日期:04/2028】,4,舒特膚,online
B0961005_S_9556174902202,快熟燕麥片 藍色 800克【香港行貨】【最佳使用日期:07/2027】,0,桂格,online
B0961005_S_9556174902202_12,(原箱) 快熟燕麥片 藍色 800克 x 12包【香港行貨】【最佳使用日期:07/2027】,0,桂格,offline
B0961005_S_9556174902219,即食燕麥片 紅色 800克 【香港行貨】【最佳使用日期:09/2027】,283,桂格,online
B0961005_S_9556174902219_12,(原箱) 即食燕麥片 紅色 800克 x 12包 【香港行貨】【最佳使用日期:09/2027】,86,桂格,offline
B0961005_S_9588802628888,張權破痛油 38毫升【最佳使用日期:01/2030】,0,張權破痛油,online
